LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott157735,Pipile pipile
ott157739,Pipile cumanensis
ott188770,Pipile grayi
ott157745,Pipile cujubi
ott1014142,Pipile jacutinga
ott963344,Aburria aburri
ott188777,Chamaepetes unicolor
ott488154,Chamaepetes goudotii
ott80424,Penelopina nigra
ott488145,Oreophasis derbianus
ott488148,Nothocrax urumutum
ott571014,Mitu tomentosum
ott786420,Mitu salvini
ott488151,Mitu tuberosum
ott385229,Mitu mitu
ott1014138,Pauxi pauxi
ott3596024,Pauxi koepckeae
ott786422,Pauxi unicornis
ott132829,Crax rubra
ott654721,Crax alberti
ott654723,Crax daubentoni
ott654722,Crax alector
ott654700,Crax globulosa
ott654699,Crax fasciolata
ott488156,Crax blumenbachii
ott684046,Numida meleagris
ott342271,Agelastes meleagrides
ott3596015,Agelastes niger
ott684040,Acryllium vulturinum
ott104461,Guttera plumifera
ott684048,Guttera pucherani
ott-,Melopyrrha taylori
ott867023,Ptilopachus petrosus
ott554512,Ptilopachus nahani
ott3596005,Rhynchortyx cinctus
ott676779,Oreortyx pictus
ott3596007,Dendrortyx leucophrys
ott3596009,Dendrortyx macroura
ott3596011,Dendrortyx barbatus
ott3596012,Philortyx fasciatus
ott204709,Colinus virginianus
ott3596004,Colinus nigrogularis
ott520556,Colinus cristatus
ott728092,Callipepla squamata
ott340885,Callipepla douglasii
ott340882,Callipepla californica
ott340887,Callipepla gambelii
ott204716,Cyrtonyx montezumae
ott3596002,Cyrtonyx ocellatus
ott3596014,Dactylortyx thoracicus
ott329457,Odontophorus gujanensis
ott329467,Odontophorus capueira
ott3595990,Odontophorus melanotis
ott3595995,Odontophorus atrifrons
ott3596001,Odontophorus erythrops
ott3595997,Odontophorus hyperythrus
ott3595996,Odontophorus melanonotus
ott329460,Odontophorus speciosus
ott3596000,Odontophorus dialeucos
ott3595998,Odontophorus strophium
ott3595994,Odontophorus columbianus
ott594190,Odontophorus leucolaemus
ott3595991,Odontophorus balliviani
ott3595999,Odontophorus stellatus
ott3595992,Odontophorus guttatus
ott54195,Xenoperdix udzungwensis
ott136466,Caloperdix oculeus
ott352755,Rollulus rouloul
ott3596095,Melanoperdix niger
ott991317,Arborophila torqueola
ott1077380,Arborophila rufipectus
ott3596062,Arborophila mandellii
ott746380,Arborophila gingica
ott74933,Arborophila rufogularis
ott3596058,Arborophila rubrirostris
ott3596055,Arborophila cambodiana
ott586082,Arborophila ardens
ott3596059,Arborophila crudigularis
ott3596051,Arborophila atrogularis
ott3596048,Arborophila brunneopectus
ott3596056,Arborophila davidi
ott3596053,Arborophila hyperythra
ott3596061,Arborophila campbelli
ott3596049,Arborophila rolli
ott3596052,Arborophila sumatrana
ott54198,Arborophila javanica
ott3596054,Arborophila orientalis
ott3596087,Lerwa lerwa
ott979426,Ithaginis cruentus
ott954861,Tragopan melanocephalus
ott51354,Tragopan satyra
ott352751,Tragopan blythii
ott51356,Tragopan temminckii
ott250898,Tragopan caboti
ott438396,Tetraophasis obscurus
ott438398,Tetraophasis szechenyii
ott624442,Lophophorus impejanus
ott689093,Lophophorus sclateri
ott689091,Lophophorus lhuysii
ott572162,Pucrasia macrolopha
ott446482,Meleagris gallopavo
ott446490,Meleagris ocellata
ott728082,Bonasa umbellus
ott259105,Tetrastes bonasia
ott3596073,Tetrastes sewerzowi
ott728077,Centrocercus urophasianus
ott909953,Centrocercus minimus
ott1003843,Dendragapus obscurus
ott754431,Dendragapus fuliginosus
ott979422,Tympanuchus phasianellus
ott728073,Tympanuchus cupido
ott849533,Tympanuchus pallidicinctus
ott928346,Lagopus leucura
ott444614,Lagopus lagopus
ott504006,Lagopus muta
ott55929,Falcipennis falcipennis
ott55937,Canachites canadensis
ott5925680,Tetrao urogalloides
ott484331,Tetrao urogallus
ott725154,Lyrurus tetrix
ott168727,Lyrurus mlokosiewiczi
ott781248,Rhizothera longirostris
ott4947478,Rhizothera dulitensis
ott621144,Perdix hodgsoniae
ott102712,Perdix perdix
ott520561,Perdix dauurica
ott572172,Syrmaticus soemmerringii
ott572176,Syrmaticus reevesii
ott572168,Syrmaticus mikado
ott572165,Syrmaticus ellioti
ott572170,Syrmaticus humiae
ott521325,Chrysolophus pictus
ott943883,Chrysolophus amherstiae
ott102719,Phasianus colchicus
ott102722,Phasianus versicolor
ott521329,Catreus wallichii
ott422539,Crossoptilon harmani
ott352760,Crossoptilon crossoptilon
ott1096259,Crossoptilon mantchuricum
ott1098756,Crossoptilon auritum
ott821600,Lophura edwardsi
ott53709,Lophura swinhoii
ott453622,Lophura bulweri
ott53700,Lophura leucomelanos
ott624446,Lophura nycthemera
ott53692,Lophura erythrophthalma
ott352745,Lophura diardi
ott53708,Lophura inornata
ott730684,Lophura rufa
ott624448,Lophura ignita
ott727334,Rheinardia ocellata
ott6520374,Rheinardia nigrescens
ott521339,Argusianus argus
ott51349,Afropavo congensis
ott453575,Pavo cristatus
ott102708,Pavo muticus
ott3596057,Tropicoperdix chloropus
ott3596050,Tropicoperdix charltonii
ott401527,Haematortyx sanguiniceps
ott3596069,Galloperdix spadicea
ott207168,Galloperdix lunulata
ott3596070,Galloperdix bicalcarata
ott352746,Polyplectron napoleonis
ott157751,Polyplectron schleiermacheri
ott580471,Polyplectron malacense
ott1058436,Polyplectron germaini
ott157749,Polyplectron katsumatae
ott102705,Polyplectron bicalcaratum
ott658122,Polyplectron inopinatum
ott110936,Polyplectron chalcurum
ott867027,Bambusicola fytchii
ott6520471,Bambusicola thoracicus
ott5861117,Bambusicola sonorivox
ott153572,Gallus varius
ott153563,Gallus gallus
ott153560,Gallus sonneratii
ott153554,Gallus lafayettii
ott867018,Peliperdix lathami
ott55595,Ortygornis sephaena
ott204734,Ortygornis pondicerianus
ott681148,Ortygornis gularis
ott772143,Francolinus pintadeanus
ott676796,Francolinus francolinus
ott981769,Francolinus pictus
ott676785,Campocolinus coqui
ott981766,Campocolinus albogularis
ott931300,Campocolinus schlegelii
ott124995,Scleroptila streptophora
ott55582,Scleroptila levaillantii
ott681149,Scleroptila finschi
ott125001,Scleroptila psilolaema
ott681156,Scleroptila afra
ott55587,Scleroptila gutturalis
ott55570,Scleroptila shelleyi
ott1033586,Tetraogallus tibetanus
ott1033589,Tetraogallus altaicus
ott3596071,Tetraogallus caucasicus
ott436875,Tetraogallus caspius
ott849558,Tetraogallus himalayensis
ott3596066,Ammoperdix griseogularis
ott124997,Ammoperdix heyi
ott520554,Synoicus ypsilophorus
ott3596096,Synoicus monorthonyx
ott144486,Synoicus chinensis
ott3596045,Synoicus adansonii
ott681154,Margaroperdix madagarensis
ott1098760,Coturnix coturnix
ott803622,Coturnix japonica
ott1098762,Coturnix delegorguei
ott3596047,Coturnix coromandelica
ott602029,Coturnix pectoralis
ott771603,Coturnix novaezelandiae
ott356747,Alectoris barbara
ott932284,Alectoris melanocephala
ott51360,Alectoris rufa
ott51358,Alectoris chukar
ott356743,Alectoris graeca
ott932287,Alectoris philbyi
ott356741,Alectoris magna
ott54482,Perdicula asiatica
ott3596064,Perdicula argoondah
